(236, 'A8FA4523-38F9-4033-8D3D-A2E3E7243EC0', 'По прибору', 'ФЛ', Decimal('238.000'), '09-2022')
(236, 'A8FA4523-38F9-4033-8D3D-A2E3E7243EC0', 'По среднему', 'ФЛ', Decimal('11.301'), '09-2022')
(237, '98F0C77C-6B93-4D05-B71C-26214CC2EB37', 'по водомеру', 'ЮР', Decimal('3.000'), '09-2022')
(237, '98F0C77C-6B93-4D05-B71C-26214CC2EB37', 'По норме', 'ФЛ', Decimal('127.500'), '09-2022')
(237, '98F0C77C-6B93-4D05-B71C-26214CC2EB37', 'По норме - нет показ', 'ФЛ', Decimal('5.100'), '09-2022')
(237, '98F0C77C-6B93-4D05-B71C-26214CC2EB37', 'По норме-несв. показ', 'ФЛ', Decimal('30.600'), '09-2022')
(237, '98F0C77C-6B93-4D05-B71C-26214CC2EB37', 'По прибору', 'ФЛ', Decimal('216.600'), '09-2022')
(237, '98F0C77C-6B93-4D05-B71C-26214CC2EB37', 'По среднему', 'ФЛ', Decimal('-33.600'), '09-2022')
(238, '0F7A7B76-6E4C-4B16-83AA-23BB539AFBA9', 'По норме', 'ФЛ', Decimal('112.200'), '09-2022')
(238, '0F7A7B76-6E4C-4B16-83AA-23BB539AFBA9', 'По норме - нет показ', 'ФЛ', Decimal('10.200'), '09-2022')
(238, '0F7A7B76-6E4C-4B16-83AA-23BB539AFBA9', 'По норме-несв. показ', 'ФЛ', Decimal('61.200'), '09-2022')
(238, '0F7A7B76-6E4C-4B16-83AA-23BB539AFBA9', 'По прибору', 'ФЛ', Decimal('178.358'), '09-2022')
(238, '0F7A7B76-6E4C-4B16-83AA-23BB539AFBA9', 'По среднему', 'ФЛ', Decimal('90.922'), '09-2022')
(239, 'D92E637B-2716-4796-B8F2-FBC19CDB9337', 'по водомеру', 'ЮР', Decimal('2.000'), '09-2022')
(239, 'D92E637B-2716-4796-B8F2-FBC19CDB9337', 'По норме', 'ФЛ', Decimal('45.900'), '09-2022')
(239, 'D92E637B-2716-4796-B8F2-FBC19CDB9337', 'По норме-несв. показ', 'ФЛ', Decimal('5.100'), '09-2022')
(239, 'D92E637B-2716-4796-B8F2-FBC19CDB9337', 'По прибору', 'ФЛ', Decimal('292.200'), '09-2022')
(239, 'D92E637B-2716-4796-B8F2-FBC19CDB9337', 'По среднему', 'ФЛ', Decimal('23.887'), '09-2022')
(240, 'EF212DCB-C102-4B95-8D8E-DD50A85BB5C8', 'По норме', 'ФЛ', Decimal('339.296'), '09-2022')
(240, 'EF212DCB-C102-4B95-8D8E-DD50A85BB5C8', 'По норме - нет показ', 'ФЛ', Decimal('-24.880'), '09-2022')
(240, 'EF212DCB-C102-4B95-8D8E-DD50A85BB5C8', 'По норме-несв. показ', 'ФЛ', Decimal('322.180'), '09-2022')
(240, 'EF212DCB-C102-4B95-8D8E-DD50A85BB5C8', 'По прибору', 'ФЛ', Decimal('1169.490'), '09-2022')
(240, 'EF212DCB-C102-4B95-8D8E-DD50A85BB5C8', 'По среднему', 'ФЛ', Decimal('-37.901'), '09-2022')
(241, '5EE6E01C-EBB8-4A70-A0AA-CDB83227BFCC', 'По норме', 'ФЛ', Decimal('206.370'), '09-2022')
(241, '5EE6E01C-EBB8-4A70-A0AA-CDB83227BFCC', 'По норме - нет показ', 'ФЛ', Decimal('44.160'), '09-2022')
(241, '5EE6E01C-EBB8-4A70-A0AA-CDB83227BFCC', 'По норме-несв. показ', 'ФЛ', Decimal('31.100'), '09-2022')
(241, '5EE6E01C-EBB8-4A70-A0AA-CDB83227BFCC', 'По прибору', 'ФЛ', Decimal('1442.414'), '09-2022')
(241, '5EE6E01C-EBB8-4A70-A0AA-CDB83227BFCC', 'По среднему', 'ФЛ', Decimal('68.434'), '09-2022')
(242, 'E3E47154-1940-4BC0-B984-8702596AC982', 'по водомеру', 'ЮР', Decimal('164.000'), '09-2022')
(243, '78E8A348-E23F-4844-81C5-6501BB8152BD', 'По прибору', 'ФЛ', Decimal('15.000'), '09-2022')
(243, '78E8A348-E23F-4844-81C5-6501BB8152BD', 'По среднему', 'ФЛ', Decimal('-8.974'), '09-2022')
(244, 'F94D4C45-7567-4674-BD91-9B68D9744E48', 'По прибору', 'ФЛ', Decimal('17.000'), '09-2022')
(245, 'C04B98E3-0062-40B0-8FB9-FEB52EABA71F', 'По норме', 'ФЛ', Decimal('566.914'), '09-2022')
(245, 'C04B98E3-0062-40B0-8FB9-FEB52EABA71F', 'По норме - нет показ', 'ФЛ', Decimal('11.070'), '09-2022')
(245, 'C04B98E3-0062-40B0-8FB9-FEB52EABA71F', 'По норме-несв. показ', 'ФЛ', Decimal('86.330'), '09-2022')
(245, 'C04B98E3-0062-40B0-8FB9-FEB52EABA71F', 'По прибору', 'ФЛ', Decimal('677.570'), '09-2022')
(245, 'C04B98E3-0062-40B0-8FB9-FEB52EABA71F', 'По среднему', 'ФЛ', Decimal('-17.750'), '09-2022')
(246, '5BDCC52F-722E-48ED-A1D7-5A34C65AB13E', 'По прибору', 'ФЛ', Decimal('1.000'), '09-2022')
(247, 'D00B6B9E-F249-4244-BD7F-BD87D66A68FD', 'По норме', 'ФЛ', Decimal('5.100'), '09-2022')
(248, '48F785F5-4CA0-4D52-B15A-8DF31CE051BF', 'По прибору', 'ФЛ', Decimal('4.000'), '09-2022')
(249, '2AC0F5AC-67AB-4FD1-8A94-A2EC451E6BAC', 'По норме-несв. показ', 'ФЛ', Decimal('2.700'), '09-2022')
(250, 'A8CE9B3F-9E37-4CE3-B020-AA8AFB7ECCBD', 'По норме-несв. показ', 'ФЛ', Decimal('2.700'), '09-2022')
(251, '80B147BB-2320-47B1-91AE-2C5427F407FA', 'По среднему', 'ФЛ', Decimal('21.882'), '09-2022')
